Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Career1,Career2,Career3
C,D,B,B,B,D,D,A,D,A,C,D,AI Engineer,Researcher,Data Scientist
A,D,D,A,B,A,D,A,A,C,A,B,Backend Developer,UX Designer,Cloud Engineer
A,B,A,D,C,A,C,A,A,B,C,A,Cybersecurity,Cloud Engineer,Backend Developer
A,C,A,C,B,D,D,C,C,B,A,A,Backend Developer,Cybersecurity,Data Scientist
D,D,D,D,B,D,C,C,B,B,B,A,Entrepreneur,UI/UX Designer,UX Designer
A,C,D,B,B,D,B,B,D,C,A,C,Cloud Engineer,Cybersecurity,Backend Developer
C,C,B,D,C,D,C,B,B,B,D,D,Data Scientist,AI Engineer,Researcher
C,B,C,C,D,C,D,B,A,C,C,D,Software Developer,Researcher,AI Engineer
B,B,A,B,C,D,D,B,B,C,C,C,AI Engineer,Software Developer,Data Scientist
A,D,A,A,C,B,A,A,C,D,C,D,UX Designer,Backend Developer,Cybersecurity
C,A,C,C,B,D,C,C,C,C,A,C,AI Engineer,Data Scientist,Researcher
B,B,C,C,A,B,C,C,B,A,D,A,Software Developer,AI Engineer,Data Scientist
B,B,B,D,C,C,A,A,A,A,C,B,Software Developer,Data Scientist,AI Engineer
D,B,B,A,B,B,B,A,D,B,C,A,Software Developer,Product Manager,Entrepreneur
C,B,C,C,A,B,B,B,B,D,C,A,Researcher,Software Developer,AI Engineer
D,B,C,B,C,B,A,B,D,C,B,C,Product Manager,Entrepreneur,UI/UX Designer
C,A,D,B,D,D,D,C,B,D,D,C,AI Engineer,Researcher,Data Scientist
D,B,C,B,A,A,B,A,D,A,B,A,Software Developer,UI/UX Designer,Entrepreneur
B,B,B,B,A,B,D,B,D,A,D,B,AI Engineer,Software Developer,Data Scientist
A,C,A,B,C,B,D,C,D,B,A,A,Backend Developer,Data Scientist,Cybersecurity
A,C,A,D,D,C,A,C,A,C,D,D,Data Scientist,Cloud Engineer,Backend Developer
B,A,C,A,D,C,C,D,A,B,A,C,AI Engineer,Software Developer,Data Scientist
C,A,B,B,B,A,B,B,A,C,A,A,Data Scientist,Researcher,AI Engineer
A,C,D,C,D,C,C,B,C,D,D,D,Backend Developer,Cloud Engineer,Cybersecurity
C,B,C,A,A,C,D,C,D,B,B,B,AI Engineer,Researcher,Data Scientist
C,C,A,D,C,A,C,D,C,C,D,B,Data Scientist,Researcher,AI Engineer
D,C,A,D,B,B,A,A,B,B,A,A,Entrepreneur,UI/UX Designer,Product Manager
B,A,D,C,B,D,C,C,A,D,B,A,AI Engineer,Software Developer,Data Scientist
A,A,D,D,C,D,B,A,D,B,B,D,Cloud Engineer,Cybersecurity,Backend Developer
C,B,D,C,D,C,D,D,B,C,C,D,Data Scientist,Software Developer,Researcher
C,B,B,C,D,A,C,C,A,C,D,D,Software Developer,Researcher,Data Scientist
A,D,A,D,B,B,B,D,A,A,C,C,Cybersecurity,Cloud Engineer,UX Designer
A,C,A,C,A,A,A,B,B,D,D,A,Cloud Engineer,Cybersecurity,Backend Developer
D,A,C,B,B,A,A,B,A,C,D,D,Product Manager,UI/UX Designer,Entrepreneur
D,D,C,A,C,B,C,C,B,D,A,D,Product Manager,UI/UX Designer,Entrepreneur
B,A,A,A,A,D,C,C,D,D,B,B,AI Engineer,Data Scientist,Software Developer
A,B,C,D,D,B,A,C,A,B,A,B,Cybersecurity,Cloud Engineer,Backend Developer
C,C,A,D,A,C,A,C,B,B,A,B,AI Engineer,Data Scientist,Researcher
B,B,A,C,C,A,A,B,C,C,B,C,Software Developer,AI Engineer,Data Scientist
D,C,B,C,B,D,A,C,B,C,D,B,UI/UX Designer,Entrepreneur,Data Scientist
A,C,D,C,C,A,C,A,C,C,D,C,Cybersecurity,Cloud Engineer,Data Scientist
A,D,D,B,D,C,B,C,C,D,D,A,UX Designer,Cybersecurity,Backend Developer
D,A,D,C,B,A,B,B,C,C,A,B,UI/UX Designer,Entrepreneur,Product Manager
B,B,C,D,C,C,B,B,B,B,C,D,AI Engineer,Software Developer,Data Scientist
B,B,D,D,C,B,C,A,B,D,B,C,Software Developer,AI Engineer,Data Scientist
D,B,D,D,D,A,B,D,D,D,B,C,UI/UX Designer,Entrepreneur,Software Developer
A,D,B,C,A,C,B,C,A,C,D,B,Cloud Engineer,Backend Developer,UX Designer
A,C,A,C,B,A,D,B,D,D,D,C,Cybersecurity,Data Scientist,Cloud Engineer
A,D,D,D,A,D,B,C,C,A,D,B,Cloud Engineer,Cybersecurity,Backend Developer
A,D,D,A,B,C,C,B,A,A,B,B,Cybersecurity,UX Designer,Cloud Engineer
C,D,B,B,B,B,A,B,A,B,D,A,UX Designer,AI Engineer,Researcher
B,B,A,C,A,D,D,C,B,C,D,B,Software Developer,Data Scientist,AI Engineer
A,B,A,C,A,D,C,C,A,D,C,D,Cloud Engineer,Backend Developer,Cybersecurity
A,A,B,B,C,B,A,D,C,C,D,B,Backend Developer,Cloud Engineer,Cybersecurity
B,B,D,C,B,D,D,A,A,A,C,B,Software Developer,AI Engineer,Data Scientist
B,C,C,D,B,C,B,D,D,C,B,B,AI Engineer,Software Developer,Data Scientist
C,A,A,A,D,C,B,B,D,B,D,C,Researcher,Data Scientist,AI Engineer
B,A,B,C,C,C,C,C,D,B,C,C,Data Scientist,AI Engineer,Software Developer
D,A,B,B,B,B,D,D,C,A,A,D,Product Manager,UI/UX Designer,Entrepreneur
D,D,A,A,B,C,A,D,B,A,A,A,Product Manager,UX Designer,UI/UX Designer
D,A,A,A,D,C,A,A,D,D,B,A,UI/UX Designer,Entrepreneur,Product Manager
D,A,D,C,A,A,D,A,D,B,D,D,Entrepreneur,UI/UX Designer,Product Manager
C,B,D,A,B,D,C,A,B,B,C,A,Software Developer,Data Scientist,Researcher
D,C,C,D,C,D,B,D,B,A,D,C,UI/UX Designer,Data Scientist,Product Manager
C,A,D,B,A,B,C,A,A,A,A,D,AI Engineer,Data Scientist,Researcher
A,B,B,D,A,B,B,A,D,B,B,D,Cloud Engineer,Backend Developer,Software Developer
A,B,C,D,B,A,A,C,D,C,D,C,Backend Developer,Cloud Engineer,Cybersecurity
B,D,B,A,B,B,A,A,D,D,D,B,Software Developer,Data Scientist,AI Engineer
D,C,D,B,B,B,B,C,A,A,B,B,Entrepreneur,Data Scientist,Product Manager
A,D,A,C,A,C,B,A,D,A,C,B,Cloud Engineer,UX Designer,Backend Developer
D,D,C,D,B,D,D,A,A,A,D,B,UX Designer,UI/UX Designer,Entrepreneur
B,D,B,B,C,B,A,A,B,A,C,B,UX Designer,Software Developer,Data Scientist
A,A,A,D,D,A,C,D,B,C,C,D,Backend Developer,Cloud Engineer,Cybersecurity
B,D,B,A,C,D,B,A,A,B,D,B,AI Engineer,Data Scientist,UX Designer
A,C,C,C,A,D,C,D,D,C,A,D,Cloud Engineer,Cybersecurity,Backend Developer
B,B,C,B,D,B,D,C,C,D,B,C,Data Scientist,Software Developer,AI Engineer
A,C,A,D,C,D,A,B,D,B,D,B,Backend Developer,Data Scientist,Cloud Engineer
B,D,B,C,A,C,A,A,D,D,A,C,Data Scientist,AI Engineer,UX Designer
D,A,B,A,B,A,C,D,D,B,C,B,UI/UX Designer,Entrepreneur,Product Manager
B,A,A,C,C,A,D,C,B,A,D,A,Software Developer,Data Scientist,AI Engineer
B,C,C,B,A,C,C,A,D,A,C,D,Data Scientist,AI Engineer,Software Developer
C,A,D,B,C,D,A,B,D,C,A,B,Data Scientist,AI Engineer,Researcher
B,C,C,B,D,A,A,D,D,C,D,A,Data Scientist,Software Developer,AI Engineer
C,D,C,A,D,B,D,A,B,D,D,C,Data Scientist,AI Engineer,UX Designer
C,C,C,C,C,A,B,A,C,B,B,D,Data Scientist,AI Engineer,Researcher
B,C,C,C,D,C,A,C,D,B,B,B,Data Scientist,AI Engineer,Software Developer
B,C,A,B,A,B,C,D,A,D,C,C,AI Engineer,Software Developer,Data Scientist
A,A,B,B,C,B,A,B,B,C,A,A,Backend Developer,Cloud Engineer,Cybersecurity
C,A,D,D,D,B,D,A,C,A,A,C,Data Scientist,AI Engineer,Researcher
C,C,A,A,C,C,A,B,C,D,A,B,Researcher,AI Engineer,Data Scientist
C,A,B,A,A,D,C,A,C,A,D,D,AI Engineer,Researcher,Data Scientist
C,C,A,B,D,C,D,C,D,C,C,D,Researcher,AI Engineer,Data Scientist
B,A,B,B,A,D,B,A,B,B,D,A,AI Engineer,Software Developer,Data Scientist
C,D,A,D,C,B,A,A,A,A,D,C,AI Engineer,Data Scientist,UX Designer
A,D,D,A,B,C,D,C,B,D,A,B,Backend Developer,UX Designer,Cybersecurity
A,D,A,B,B,D,D,B,A,B,A,C,UX Designer,Cybersecurity,Cloud Engineer
C,B,C,D,C,A,B,A,B,A,C,B,Software Developer,Data Scientist,AI Engineer
A,D,B,C,B,D,D,C,A,D,B,D,Cybersecurity,Backend Developer,Cloud Engineer
B,B,B,A,B,B,C,D,A,D,A,B,Software Developer,Data Scientist,AI Engineer
D,B,D,D,B,C,B,D,C,B,B,B,Product Manager,Software Developer,Entrepreneur
D,C,D,B,A,C,D,A,A,C,C,A,Data Scientist,Entrepreneur,Product Manager
A,C,B,D,C,D,D,C,A,C,C,A,Data Scientist,Backend Developer,Cloud Engineer
B,C,A,A,D,D,D,D,D,B,B,C,Software Developer,Data Scientist,AI Engineer
D,C,D,D,B,D,C,D,D,B,C,D,Product Manager,Entrepreneur,UI/UX Designer
C,A,D,B,C,C,A,C,C,D,B,D,AI Engineer,Data Scientist,Researcher
D,A,D,D,C,B,B,B,B,A,D,A,Entrepreneur,Product Manager,UI/UX Designer
C,A,D,C,D,C,C,B,B,D,D,D,Researcher,AI Engineer,Data Scientist
B,D,C,D,D,B,A,A,D,C,C,C,UX Designer,Data Scientist,Software Developer
B,C,B,A,B,C,D,A,B,D,B,B,Data Scientist,AI Engineer,Software Developer
B,B,D,B,C,A,A,C,C,B,B,D,Software Developer,Data Scientist,AI Engineer
C,C,D,C,C,B,A,A,D,B,D,A,Data Scientist,Researcher,AI Engineer
A,C,B,B,B,D,C,C,B,C,D,B,Data Scientist,Backend Developer,Cloud Engineer
C,A,C,C,A,B,A,D,A,C,B,B,Data Scientist,Researcher,AI Engineer
C,D,D,B,B,A,D,A,C,D,B,B,Data Scientist,UX Designer,AI Engineer
A,D,B,C,A,C,A,A,C,C,C,D,Backend Developer,UX Designer,Cloud Engineer
A,B,A,B,C,B,B,B,D,A,D,B,Cloud Engineer,Cybersecurity,Software Developer
D,D,B,A,B,A,A,C,C,B,C,A,Product Manager,UX Designer,UI/UX Designer
D,D,A,D,C,A,A,B,D,D,C,A,Product Manager,UI/UX Designer,Entrepreneur
B,D,C,D,C,C,C,D,A,A,C,B,Data Scientist,AI Engineer,Software Developer
B,C,D,A,B,D,C,A,C,A,D,D,Data Scientist,Software Developer,AI Engineer
B,A,A,C,A,A,C,D,B,D,D,A,Data Scientist,AI Engineer,Software Developer
B,B,D,A,C,A,B,D,B,A,A,C,AI Engineer,Software Developer,Data Scientist
A,D,A,A,D,B,A,D,A,B,B,B,Backend Developer,UX Designer,Cloud Engineer
A,A,C,A,C,B,A,B,C,A,A,D,Cloud Engineer,Backend Developer,Cybersecurity
D,B,D,B,B,C,C,D,B,D,D,C,Entrepreneur,Product Manager,UI/UX Designer
A,C,C,A,C,C,A,C,D,A,B,A,Data Scientist,Cybersecurity,Backend Developer
D,C,A,A,B,B,D,A,D,A,B,D,UI/UX Designer,Entrepreneur,Product Manager
C,C,A,D,C,B,B,B,B,A,A,B,Data Scientist,AI Engineer,Researcher
A,B,B,B,B,A,A,A,A,D,A,B,Cloud Engineer,Software Developer,Backend Developer
D,D,C,C,D,A,B,C,C,B,A,A,Entrepreneur,UX Designer,Product Manager
A,D,B,B,A,C,C,C,C,C,B,A,Cloud Engineer,UX Designer,Backend Developer
A,C,D,C,D,C,B,B,D,A,B,A,Cybersecurity,Data Scientist,Backend Developer
B,B,A,B,C,C,C,C,A,C,B,C,Data Scientist,Software Developer,AI Engineer
D,D,D,A,C,B,A,B,D,A,C,C,Entrepreneur,UI/UX Designer,Product Manager
D,D,B,B,D,D,A,C,A,C,C,B,UX Designer,Entrepreneur,Product Manager
A,A,D,B,A,C,B,B,B,C,A,C,Backend Developer,Cloud Engineer,Cybersecurity
B,C,C,C,A,D,B,A,C,D,D,C,Data Scientist,AI Engineer,Software Developer
D,A,B,A,C,D,C,B,D,D,B,C,UI/UX Designer,Product Manager,Entrepreneur
C,A,D,D,D,B,A,D,B,A,A,A,Data Scientist,AI Engineer,Researcher
C,A,D,B,D,D,C,C,C,B,C,D,Data Scientist,AI Engineer,Researcher
B,B,B,D,A,D,A,A,D,A,B,C,AI Engineer,Data Scientist,Software Developer
A,A,B,A,B,D,C,D,A,B,C,D,Cloud Engineer,Backend Developer,Cybersecurity
B,B,B,C,A,B,B,C,B,B,A,B,Data Scientist,Software Developer,AI Engineer
C,D,D,A,A,A,A,D,C,C,D,B,UX Designer,Researcher,Data Scientist
D,D,D,B,C,C,C,A,C,D,B,D,Product Manager,Entrepreneur,UI/UX Designer
A,A,A,B,B,C,A,B,D,D,D,D,Backend Developer,Cybersecurity,Cloud Engineer
C,D,A,B,B,C,B,C,D,D,A,C,Researcher,AI Engineer,Data Scientist
D,C,D,A,B,D,D,D,B,A,D,C,Data Scientist,Entrepreneur,Product Manager
B,D,C,B,C,B,B,A,C,B,B,D,UX Designer,Software Developer,Data Scientist
C,A,C,A,B,D,A,C,D,D,B,B,AI Engineer,Data Scientist,Researcher
C,D,D,B,D,D,C,C,A,B,C,C,UX Designer,AI Engineer,Data Scientist
C,C,D,A,B,B,D,C,D,B,B,A,Researcher,AI Engineer,Data Scientist
B,D,C,B,A,B,A,D,A,B,A,D,UX Designer,Data Scientist,Software Developer
B,D,D,B,D,D,A,D,B,B,C,D,Software Developer,UX Designer,Data Scientist
C,C,D,D,B,D,C,B,D,C,A,C,Researcher,Data Scientist,AI Engineer
C,D,C,B,B,D,A,D,A,B,C,B,UX Designer,AI Engineer,Data Scientist
D,C,D,B,A,C,B,A,B,B,B,A,Entrepreneur,Product Manager,UI/UX Designer
D,B,B,B,B,B,C,A,A,D,A,C,Entrepreneur,Product Manager,Software Developer
D,A,A,C,D,B,A,A,D,A,C,D,Entrepreneur,Product Manager,UI/UX Designer
C,B,D,B,C,C,C,A,C,D,D,C,Software Developer,AI Engineer,Data Scientist
A,C,D,B,C,C,D,C,B,D,D,C,Cybersecurity,Data Scientist,Cloud Engineer
D,C,D,D,D,B,C,A,C,A,B,B,Product Manager,UI/UX Designer,Data Scientist
B,C,B,D,B,C,C,C,A,B,D,C,AI Engineer,Data Scientist,Software Developer
C,D,D,C,D,C,D,D,B,B,B,C,AI Engineer,Data Scientist,Researcher
C,A,B,C,D,C,C,A,D,A,A,A,AI Engineer,Data Scientist,Researcher
C,A,A,C,D,B,D,D,B,A,C,B,Data Scientist,Researcher,AI Engineer
C,B,D,A,C,A,A,D,B,B,D,D,Data Scientist,Researcher,AI Engineer
D,D,B,B,B,D,B,D,D,C,B,A,Entrepreneur,Product Manager,UX Designer
C,A,A,B,B,A,B,B,A,B,B,C,AI Engineer,Researcher,Data Scientist
B,A,D,A,C,C,A,B,A,A,C,A,Data Scientist,Software Developer,AI Engineer
B,D,B,C,B,D,D,D,B,A,C,A,Data Scientist,Software Developer,UX Designer
C,D,D,B,C,C,A,D,C,B,B,D,UX Designer,Researcher,Data Scientist
B,A,C,B,A,B,D,B,D,D,A,B,Software Developer,Data Scientist,AI Engineer
A,B,A,B,A,A,C,D,A,A,A,C,Software Developer,Backend Developer,Cybersecurity
A,C,D,C,B,D,D,D,A,A,C,C,Cloud Engineer,Cybersecurity,Backend Developer
A,A,D,D,B,C,A,D,D,B,D,B,Backend Developer,Cybersecurity,Cloud Engineer
D,A,A,D,C,C,A,B,B,C,C,C,UI/UX Designer,Entrepreneur,Product Manager
C,B,C,A,D,C,A,C,B,C,C,D,Data Scientist,AI Engineer,Software Developer
C,B,C,A,A,C,D,B,C,D,C,B,Software Developer,Researcher,Data Scientist
B,B,B,D,C,C,C,A,A,B,D,D,Data Scientist,AI Engineer,Software Developer
D,C,A,D,D,D,A,B,D,D,B,B,UI/UX Designer,Entrepreneur,Data Scientist
D,A,A,C,A,A,D,C,D,A,C,D,Product Manager,UI/UX Designer,Entrepreneur
A,B,C,B,C,D,A,B,D,C,D,A,Backend Developer,Software Developer,Cloud Engineer
D,C,A,D,D,C,A,C,D,A,D,A,Product Manager,UI/UX Designer,Data Scientist
D,B,A,B,B,C,D,C,D,A,B,B,UI/UX Designer,Software Developer,Entrepreneur
D,C,D,B,A,A,D,B,C,B,C,D,Data Scientist,UI/UX Designer,Product Manager
C,D,C,A,D,B,A,C,C,D,A,D,AI Engineer,Data Scientist,Researcher
C,A,C,A,A,A,C,C,C,B,C,C,Researcher,AI Engineer,Data Scientist
A,B,C,C,D,D,B,B,B,D,B,A,Software Developer,Cybersecurity,Backend Developer
B,B,B,B,B,A,D,B,A,C,D,B,Data Scientist,Software Developer,AI Engineer
C,B,B,C,C,A,D,C,C,A,A,D,Software Developer,Data Scientist,AI Engineer
A,A,C,B,D,B,D,A,A,C,B,B,Backend Developer,Cybersecurity,Cloud Engineer
D,D,C,C,A,B,B,C,B,D,B,C,UX Designer,Product Manager,Entrepreneur
A,D,A,A,B,C,D,A,C,A,D,D,UX Designer,Cybersecurity,Backend Developer
C,A,C,B,B,D,B,B,C,B,C,B,AI Engineer,Researcher,Data Scientist
A,B,D,C,D,A,C,D,A,A,B,C,Backend Developer,Cybersecurity,Software Developer
C,C,D,A,D,C,C,C,D,D,C,A,Data Scientist,Researcher,AI Engineer
B,D,A,B,A,B,C,A,D,D,D,B,AI Engineer,Data Scientist,Software Developer
A,D,D,C,D,D,A,D,D,D,A,A,Cybersecurity,UX Designer,Backend Developer
A,C,B,D,A,B,D,B,D,B,A,A,Cybersecurity,Backend Developer,Data Scientist
D,D,D,A,A,C,C,A,B,A,B,B,Entrepreneur,UX Designer,UI/UX Designer
C,B,C,D,B,A,A,A,A,A,D,A,Researcher,Data Scientist,AI Engineer
C,A,A,B,A,C,A,C,D,A,C,A,Researcher,AI Engineer,Data Scientist
C,B,A,A,B,C,D,D,C,D,C,B,Data Scientist,Researcher,Software Developer
D,D,C,B,B,A,B,A,C,A,B,D,UX Designer,UI/UX Designer,Entrepreneur
D,A,C,B,B,B,A,B,B,B,D,C,Entrepreneur,UI/UX Designer,Product Manager
A,C,C,D,B,A,C,A,C,A,B,D,Cloud Engineer,Backend Developer,Cybersecurity
C,A,A,A,C,D,D,C,A,A,C,B,Researcher,Data Scientist,AI Engineer
D,D,D,D,D,A,B,C,C,A,D,C,UX Designer,Product Manager,Entrepreneur
C,A,A,B,C,B,C,B,D,B,C,B,Researcher,Data Scientist,AI Engineer
C,A,B,C,C,D,D,C,C,A,C,B,AI Engineer,Researcher,Data Scientist
C,D,D,D,D,B,D,B,D,B,D,B,Data Scientist,Researcher,UX Designer
A,C,B,D,D,C,D,A,A,C,A,B,Cybersecurity,Data Scientist,Backend Developer
C,D,D,D,A,B,A,A,A,A,A,C,UX Designer,Data Scientist,AI Engineer
A,A,A,C,A,A,C,B,A,B,C,A,Cybersecurity,Cloud Engineer,Backend Developer
A,D,B,D,B,D,C,B,D,D,C,D,UX Designer,Cybersecurity,Cloud Engineer
B,C,D,D,B,C,C,B,B,A,D,B,Software Developer,Data Scientist,AI Engineer
C,D,B,C,A,B,D,B,C,C,D,A,AI Engineer,Researcher,UX Designer
A,A,A,C,A,B,B,A,D,A,D,D,Cybersecurity,Backend Developer,Cloud Engineer
A,D,D,B,D,A,A,C,D,A,A,D,Cloud Engineer,Cybersecurity,UX Designer
A,C,B,B,C,B,A,A,D,D,A,D,Cloud Engineer,Cybersecurity,Backend Developer
A,B,B,C,D,A,D,A,C,C,C,D,Backend Developer,Cloud Engineer,Cybersecurity
A,D,C,C,C,A,B,D,A,C,C,C,Cloud Engineer,Backend Developer,Cybersecurity
C,D,C,C,B,D,D,A,B,D,C,D,Data Scientist,Researcher,UX Designer
C,D,B,B,A,A,C,D,D,C,B,C,AI Engineer,UX Designer,Researcher
D,A,D,C,C,C,D,D,C,C,B,D,Entrepreneur,UI/UX Designer,Product Manager
D,C,C,B,A,D,D,C,A,D,C,C,UI/UX Designer,Product Manager,Entrepreneur
A,C,C,D,B,A,C,B,A,A,A,C,Cybersecurity,Cloud Engineer,Backend Developer
B,B,D,C,C,A,A,C,A,A,D,D,Software Developer,Data Scientist,AI Engineer
D,C,A,C,C,A,C,B,D,D,D,A,Entrepreneur,Data Scientist,Product Manager
B,B,B,D,D,C,A,D,D,D,D,D,AI Engineer,Data Scientist,Software Developer
B,A,D,A,B,B,D,C,D,C,A,C,Software Developer,Data Scientist,AI Engineer
D,D,B,A,C,C,D,D,C,A,C,D,UX Designer,Product Manager,Entrepreneur
A,D,B,C,C,C,D,B,C,D,A,B,UX Designer,Cybersecurity,Cloud Engineer
A,C,A,C,D,C,B,D,A,B,D,D,Data Scientist,Cloud Engineer,Cybersecurity
D,A,C,C,D,B,C,D,C,A,A,C,Entrepreneur,UI/UX Designer,Product Manager
C,A,B,C,A,C,D,A,C,A,B,D,Data Scientist,Researcher,AI Engineer
B,D,C,B,A,D,C,D,C,D,D,A,Data Scientist,AI Engineer,Software Developer
B,D,A,B,B,A,A,A,D,B,B,A,AI Engineer,Software Developer,UX Designer
C,B,C,B,A,A,B,C,A,B,A,B,Researcher,AI Engineer,Data Scientist
C,C,D,A,B,A,C,A,A,C,A,A,AI Engineer,Data Scientist,Researcher
D,D,D,C,C,C,B,A,B,A,A,B,UX Designer,Product Manager,Entrepreneur
B,C,D,D,D,D,B,A,B,B,A,C,AI Engineer,Data Scientist,Software Developer
B,D,D,D,A,A,B,B,B,C,D,B,Software Developer,AI Engineer,UX Designer
C,D,A,C,D,C,A,D,C,B,D,D,UX Designer,AI Engineer,Researcher
D,D,B,C,C,A,C,D,B,D,D,B,Product Manager,UX Designer,UI/UX Designer
D,B,C,A,B,A,D,C,C,C,D,D,UI/UX Designer,Product Manager,Software Developer
C,C,A,C,D,A,C,A,B,D,C,D,AI Engineer,Data Scientist,Researcher
A,C,D,B,B,B,D,A,B,D,A,A,Cloud Engineer,Backend Developer,Data Scientist
A,D,B,D,D,D,D,B,A,D,B,A,Cloud Engineer,UX Designer,Backend Developer
A,B,A,C,B,B,A,A,D,D,A,B,Software Developer,Cloud Engineer,Backend Developer
A,C,D,B,B,D,B,D,C,B,D,B,Cloud Engineer,Backend Developer,Data Scientist
C,D,A,A,D,D,B,D,B,D,B,A,Data Scientist,UX Designer,AI Engineer
D,A,D,C,B,B,C,B,C,B,D,A,UI/UX Designer,Entrepreneur,Product Manager
B,A,B,D,D,D,B,D,B,C,D,D,AI Engineer,Software Developer,Data Scientist
B,B,A,B,D,B,C,D,D,C,C,B,Software Developer,Data Scientist,AI Engineer
D,B,C,C,A,D,A,C,A,D,D,C,Software Developer,Entrepreneur,UI/UX Designer
B,C,C,A,C,B,C,C,A,B,D,B,Data Scientist,AI Engineer,Software Developer
A,D,B,B,C,B,A,D,D,A,B,A,Backend Developer,Cloud Engineer,UX Designer
C,B,B,B,B,A,B,A,C,C,C,C,Data Scientist,Researcher,AI Engineer
A,D,C,D,A,C,D,A,D,A,B,B,UX Designer,Backend Developer,Cybersecurity
D,C,D,B,B,B,B,C,A,B,B,D,Data Scientist,Entrepreneur,UI/UX Designer
A,B,B,D,A,B,B,B,B,D,C,D,Software Developer,Backend Developer,Cloud Engineer
A,D,D,C,B,C,B,A,A,C,B,D,Cloud Engineer,Cybersecurity,UX Designer
D,C,B,A,C,B,D,B,B,D,A,C,Product Manager,Entrepreneur,UI/UX Designer
C,D,D,D,D,A,A,D,C,B,D,C,UX Designer,Researcher,AI Engineer
C,D,B,B,A,A,D,B,D,D,C,D,Data Scientist,Researcher,AI Engineer
D,A,A,D,D,D,A,D,D,D,A,D,UI/UX Designer,Entrepreneur,Product Manager
B,B,C,A,C,A,B,C,A,B,A,C,Data Scientist,AI Engineer,Software Developer
D,A,A,B,A,C,A,B,C,B,C,B,UI/UX Designer,Entrepreneur,Product Manager
D,B,A,C,B,A,B,C,B,C,D,A,Software Developer,Entrepreneur,Product Manager
D,B,A,B,D,C,A,C,B,D,B,B,UI/UX Designer,Product Manager,Entrepreneur
C,D,A,D,C,D,D,C,D,A,B,D,AI Engineer,Researcher,UX Designer
C,B,C,C,A,D,C,A,C,B,B,B,Data Scientist,Researcher,AI Engineer
D,B,A,C,D,C,A,D,D,A,C,C,Product Manager,Entrepreneur,Software Developer
D,C,B,D,B,C,C,B,B,B,D,B,UI/UX Designer,Product Manager,Data Scientist
C,C,A,D,D,D,C,A,B,A,B,B,Researcher,Data Scientist,AI Engineer
A,B,B,D,C,C,D,A,B,B,B,A,Cybersecurity,Backend Developer,Software Developer
B,B,D,D,C,C,A,C,D,A,A,D,Software Developer,Data Scientist,AI Engineer
C,C,D,A,C,D,A,C,B,A,D,B,Data Scientist,AI Engineer,Researcher
B,A,D,A,B,A,A,C,A,A,B,C,Software Developer,Data Scientist,AI Engineer
D,D,C,A,A,D,A,A,C,C,B,A,UI/UX Designer,UX Designer,Product Manager
D,A,A,C,D,C,C,B,D,C,C,A,Entrepreneur,Product Manager,UI/UX Designer
B,B,B,A,B,A,A,A,A,D,A,A,AI Engineer,Data Scientist,Software Developer
A,D,C,B,C,A,D,B,A,A,D,D,Cybersecurity,Cloud Engineer,UX Designer
B,C,D,D,B,A,A,C,C,C,D,D,AI Engineer,Data Scientist,Software Developer
D,C,A,C,A,A,C,C,A,A,B,A,Product Manager,UI/UX Designer,Entrepreneur
B,D,B,C,B,C,A,A,C,B,B,D,UX Designer,AI Engineer,Software Developer
A,B,C,D,C,A,C,D,B,A,D,D,Cloud Engineer,Software Developer,Cybersecurity
A,D,C,C,A,A,B,D,B,A,A,C,Cloud Engineer,Cybersecurity,UX Designer
D,C,C,D,D,B,A,B,B,B,A,B,Product Manager,Entrepreneur,UI/UX Designer
B,B,C,C,A,D,C,C,B,D,B,B,Software Developer,Data Scientist,AI Engineer
B,C,A,D,C,D,A,A,A,C,A,D,Data Scientist,Software Developer,AI Engineer
B,B,D,D,C,A,A,D,D,B,A,B,Data Scientist,Software Developer,AI Engineer
A,A,C,D,C,D,C,B,B,C,C,C,Backend Developer,Cybersecurity,Cloud Engineer
C,C,A,C,B,D,A,B,D,B,D,D,Data Scientist,Researcher,AI Engineer
D,D,D,D,D,D,D,D,A,B,B,C,UX Designer,UI/UX Designer,Entrepreneur
B,D,A,D,A,D,B,B,A,A,D,B,AI Engineer,Data Scientist,Software Developer
C,A,A,C,C,C,A,A,C,D,A,C,Data Scientist,AI Engineer,Researcher
B,D,A,C,B,B,C,A,B,A,D,D,UX Designer,AI Engineer,Data Scientist
A,A,D,A,A,C,C,A,A,B,C,C,Cloud Engineer,Backend Developer,Cybersecurity
C,A,D,D,B,B,B,A,B,A,C,B,Researcher,AI Engineer,Data Scientist
B,A,B,A,D,C,B,D,B,C,C,A,Software Developer,Data Scientist,AI Engineer
B,C,A,D,B,A,C,C,A,B,D,B,Software Developer,AI Engineer,Data Scientist
C,D,C,A,D,B,B,C,C,A,B,A,UX Designer,Researcher,Data Scientist
A,C,A,B,D,B,A,C,B,C,B,D,Backend Developer,Cloud Engineer,Data Scientist
A,C,B,C,C,C,C,A,D,B,B,A,Backend Developer,Cloud Engineer,Data Scientist
A,C,C,D,D,C,A,C,C,B,D,B,Backend Developer,Cybersecurity,Data Scientist
D,C,D,A,C,C,A,B,A,C,D,A,Data Scientist,Product Manager,Entrepreneur
